bank,year,group,keyword,count,rel_freq,status,colname
CIMB,2015,FTII,ai,0,0.0,pypdf,FTII__ai
CIMB,2015,FTII,alliance chain,0,0.0,pypdf,FTII__alliance chain
CIMB,2015,FTII,artificial intelligence,0,0.0,pypdf,FTII__artificial intelligence
CIMB,2015,FTII,asymmetric encryption,0,0.0,pypdf,FTII__asymmetric encryption
CIMB,2015,FTII,big data,0,0.0,pypdf,FTII__big data
CIMB,2015,FTII,blockchain,0,0.0,pypdf,FTII__blockchain
CIMB,2015,FTII,cloud architecture,0,0.0,pypdf,FTII__cloud architecture
CIMB,2015,FTII,cloud computing,0,0.0,pypdf,FTII__cloud computing
CIMB,2015,FTII,cloud platform,0,0.0,pypdf,FTII__cloud platform
CIMB,2015,FTII,cloud service,0,0.0,pypdf,FTII__cloud service
CIMB,2015,FTII,data flow,0,0.0,pypdf,FTII__data flow
CIMB,2015,FTII,data mining,1,8.920765758532712e-06,pypdf,FTII__data mining
CIMB,2015,FTII,data visualization,0,0.0,pypdf,FTII__data visualization
CIMB,2015,FTII,distributed ledger,0,0.0,pypdf,FTII__distributed ledger
CIMB,2015,FTII,face recognition,0,0.0,pypdf,FTII__face recognition
CIMB,2015,FTII,fingerprint recognition,0,0.0,pypdf,FTII__fingerprint recognition
CIMB,2015,FTII,voice recognition,0,0.0,pypdf,FTII__voice recognition
CIMB,2015,FTOI,anti-fraud,0,0.0,pypdf,FTOI__anti-fraud
CIMB,2015,FTOI,bank app,0,0.0,pypdf,FTOI__bank app
CIMB,2015,FTOI,credit evaluation,0,0.0,pypdf,FTOI__credit evaluation
CIMB,2015,FTOI,customer portrait,0,0.0,pypdf,FTOI__customer portrait
CIMB,2015,FTOI,digital wallet,2,1.7841531517065425e-05,pypdf,FTOI__digital wallet
CIMB,2015,FTOI,inclusive credit,0,0.0,pypdf,FTOI__inclusive credit
CIMB,2015,FTOI,internet banking,0,0.0,pypdf,FTOI__internet banking
CIMB,2015,FTOI,lending platform,1,8.920765758532712e-06,pypdf,FTOI__lending platform
CIMB,2015,FTOI,mobile banking,8,7.13661260682617e-05,pypdf,FTOI__mobile banking
CIMB,2015,FTOI,mobile payment,0,0.0,pypdf,FTOI__mobile payment
CIMB,2015,FTOI,online banking,3,2.676229727559814e-05,pypdf,FTOI__online banking
CIMB,2015,FTOI,online finance,0,0.0,pypdf,FTOI__online finance
CIMB,2015,FTOI,online loan,0,0.0,pypdf,FTOI__online loan
CIMB,2015,FTOI,online payment,0,0.0,pypdf,FTOI__online payment
