bank,year,FTII__ai,FTII__alliance chain,FTII__artificial intelligence,FTII__asymmetric encryption,FTII__big data,FTII__blockchain,FTII__cloud architecture,FTII__cloud computing,FTII__cloud platform,FTII__cloud service,FTII__data flow,FTII__data mining,FTII__data visualization,FTII__distributed ledger,FTII__face recognition,FTII__fingerprint recognition,FTII__voice recognition,FTOI__anti-fraud,FTOI__bank app,FTOI__credit evaluation,FTOI__customer portrait,FTOI__digital wallet,FTOI__inclusive credit,FTOI__internet banking,FTOI__lending platform,FTOI__mobile banking,FTOI__mobile payment,FTOI__online banking,FTOI__online finance,FTOI__online loan,FTOI__online payment,FTOI__predictive model,FTOI__qr code payment
CIMB,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.920765758532712e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7841531517065425e-05,0.0,0.0,8.920765758532712e-06,7.13661260682617e-05,0.0,2.676229727559814e-05,0.0,0.0,0.0,0.0,0.0
CIMB,2016,0.0,0.0,0.0,0.0,2.393336949931391e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.393336949931391e-05,0.0,7.977789833104637e-05,1.5955579666209275e-05,4.786673899862782e-05,0.0,0.0,0.0,0.0,0.0
CIMB,2017,1.8690191387559808e-05,0.0,5.607057416267943e-05,0.0,0.00011214114832535885,3.7380382775119616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.672547846889952e-05,0.0,2.8035287081339714e-05,0.0,0.0,0.0,0.0,0.0
CIMB,2018,8.78829009169116e-05,0.0,5.85886006112744e-05,0.0,4.8823833842728667e-05,9.764766768545733e-05,0.0,0.0,0.0,0.0,0.0,9.764766768545733e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9529533537091466e-05,0.0,3.905906707418293e-05,0.0,6.835336737982013e-05,0.0,0.0,0.0,0.0,0.0
CIMB,2019,1.1679650544855698e-05,0.0,1.1679650544855698e-05,0.0,8.175755381398989e-05,8.175755381398989e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1679650544855698e-05,0.0,7.007790326913419e-05,0.0,7.007790326913419e-05,0.0,0.0,1.1679650544855698e-05,0.0,0.0
CIMB,2020,3.9389204731956464e-05,0.0,0.0,0.0,6.564867455326078e-05,1.3129734910652154e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2518939642608616e-05,0.0,5.2518939642608616e-05,0.0,0.0,0.0,0.0,0.0
CIMB,2021,8.493434575073469e-06,0.0,2.5480303725220406e-05,0.0,5.945404202551428e-05,8.493434575073469e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.493434575073469e-06,2.5480303725220406e-05,0.0,6.794747660058775e-05,0.0,8.493434575073469e-06,0.0,0.0,0.0
CIMB,2022,0.0,0.0,4.3165591843429765e-05,0.0,3.4532473474743815e-05,8.633118368685954e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.633118368685954e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.633118368685954e-06,0.0,6.043182858080167e-05,0.0,4.3165591843429765e-05,0.0,0.0,0.0,0.0,0.0
CIMB,2023,1.721170395869191e-05,0.0,1.721170395869191e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.442340791738382e-05,0.0,4.302925989672978e-05,0.0,0.0,0.0,0.0,0.0
CIMB,2024,0.00013500849759367207,0.0,6.353341063231627e-05,0.0,1.5883352658079067e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.941676329039533e-06,0.0,0.0,0.0,1.5883352658079067e-05,0.0,3.970838164519767e-05,0.0,0.0,0.0,0.0,0.0
Maybank,2015,1.629819171562915e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25963834312583e-05,0.0,0.0,0.0,8.149095857814575e-06,0.0,0.0001385346295828478,0.0,0.00018742920472973522,0.0,0.0,0.0,0.0,2.4447287573443728e-05,0.0,0.0
